Modelo,MAE,RMSE,MAPE (%),sMAPE (%)
XGBoost,154.52942591197564,252.07853099564323,15452942591197.564,109.70914732555484
ExtraTrees,155.40715729709189,168.78673590349447,15540715729709.186,193.9898451991185
LightGBM,318.90804903603214,370.90074803116397,31890804903603.21,196.1740573000041
LinearRegression,139.3461795958985,147.02493975088163,13934617959589.85,199.41723345420317
RandomForest,310.89089277798456,342.2104071766787,31089089277798.457,200.0
DecisionTrees,317.2347662831927,347.7819280331059,31723476628319.26,200.0
